uri,label_it,notation
AIBTM260,Origami,
AIBTM261,Parliamone in Biblioteca AIB,
AIBTM262,partecipazione,
AIBTM263,periodici,
AIBTM264,piattaforme di libri elettronici,
AIBTM265,piccoli editori,
AIBTM266,Piccoli lettori grandi visioni,
AIBTM267,Piemonte,
AIBTM268,poesie dorsali,
AIBTM269,portfolio competenze,
AIBTM270,Premio IFLA ENSULIB 2023,
AIBTM271,prestito bibliotecario,
AIBTM272,Prima guerra mondiale,
AIBTM273,Primo Levi,
AIBTM274,professione,
AIBTM275,professionisti,
AIBTM276,Profilo Bibliotecario,
AIBTM277,progettazione architettonica,
AIBTM278,Progetti di ricerca,
AIBTM279,programmazione neurolinguistica,
AIBTM280,promozione della lettura,
AIBTM281,Pubblica lettura,
AIBTM282,Pubblicazioni,
AIBTM283,Public History,
AIBTM284,Rassegna 4 passi in biblioteca,
AIBTM285,Real Albergo dei Poveri,
AIBTM286,reference,
AIBTM287,Reference,
AIBTM288,Regione Campania,
AIBTM289,Repubblica Partenopea,
AIBTM290,Reputation della biblioteca,
AIBTM291,Riconoscimento professionale,
AIBTM292,Rigenerazione urbana,
AIBTM293,Ritorno in biblioteca,
AIBTM294,Roma,
AIBTM295,ruolo dei libri,
AIBTM296,Ruolo sociale delle biblioteche,
AIBTM297,Salone del Libro,
AIBTM298,SBN,
AIBTM299,sentiment analysis,
AIBTM300,service design,
AIBTM301,sicurezza,
AIBTM302,Silent book,
AIBTM303,Sistema Bibliotecario di Ateneo Genova,
AIBTM304,sistema del benessere,
AIBTM305,Slavistica,
AIBTM306,social network,
AIBTM307,Social reading,
AIBTM308,soft skills,
AIBTM309,statistiche,
AIBTM310,storia della lettura,
AIBTM311,Storia della medicina,
AIBTM312,storia delle biblioteche,
AIBTM313,Storytelling,
AIBTM314,sviluppo sostenibile,
AIBTM315,teatro d'immagini,
AIBTM316,Teca del Mediterraneo,
AIBTM317,terminologia,
AIBTM318,Terremoti,
AIBTM319,Terza Missione,
AIBTM320,The Digital Restoration of Herculaneum Papyri,
AIBTM321,transizione al digitale,
AIBTM322,uguaglianza,
AIBTM323,umberto eco,
AIBTM324,unione europea,
AIBTM325,utente,
AIBTM326,valorizzazione del patrimonio culturale,
AIBTM327,Veneto,
AIBTM328,videogiochi,
AIBTM329,visibilità,
AIBTM330,visite in biblioteca,
AIBTM331,wikimedia,
AIBTM332,wikipedia,
